platform,nosVersion,hypervisor,Intermixing,
"NX-9040","4.6.4.1,4.6.4","AHV-20160601.6,ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.7.1,4.7.7","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-9040","4.5.1,4.5.1.3,4.5.1.2,4.5.2,4.5.0.2","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160217.2,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.5.2,4.7.5.1,4.7.5","ESXi 5.5,ESXi 5.1,AHV-20160601.50,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.6.2","ESXi 5.5,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-9040","4.5.3","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.2","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.2.1","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.4","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.5","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","4.7.6.1,4.7.6","ESXi 5.5,ESXi 5.1,AHV-20160601.50,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-9040","4.6.1","AHV-20160601.6,ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160217.2,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","5.0.3.2,5.0.2,5.0.3,5.0.3.1","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,AHV-20160925.57,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-9040","5.1.0.5,5.1.0.4,5.1.0.3","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.5,ESXi 6.0 U1A,AHV-20160925.90,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-9040","4.7.1","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-9040^11",
"NX-9040","5.1.0.1,5.1.0.2","XenServer 7.1,ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.5,ESXi 6.0 U1A,AHV-20160925.90,ESXi 6.0 U1B,AHV-20160925.57,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,AHV-20160925.84,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-9040^11",
"NX-8150","4.1.6","ESXi 5.5,ESXi 5.1,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.0 U2,ESXi 5.0 U3,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U3,AHV-20160601.20,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6080,NX-6060","4.6.0.1,4.6.0.3,4.6.0.2","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160217.2,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-3175-G5","5.1.1.1,5.1.1.2,5.1.1.3,5.1.1,5.1.3,5.1.2","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.5,ESXi 6.0 U1A,AHV-20160925.90,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,AHV-20160925.84,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150","4.7.3.2,4.7.3.1,4.7.3.3,4.7.3","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150","4.1.5.1,4.1.1.4,4.1.2,4.1.3,4.1.4,4.1.5,4.1.2.1","ESXi 5.5,ESXi 5.1,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.0 U2,ESXi 5.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3175-G5,NX-3061,NX-3060","5.0,5.0.1","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,AHV-20160925.57,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,AHV-20160925.30,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160925.43,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,AHV-20160925.44,ESXi 6.5a","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3175-G5,NX-3061,NX-3060","5.1","XenServer 7.1,ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.5,ESXi 6.0 U1A,AHV-20160925.90,ESXi 6.0 U1B,AHV-20160925.57,ESXi 6.0 U2,ESXi 5.5 U2A,AHV-20160925.71,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,AHV-20160925.84,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,AHV-20160925.44,ESXi 6.5a","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150","4.7,4.6.4.1,4.7.0.1,4.6.4","AHV-20160601.6,ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,AHV-20160601.20,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-3061,NX-3060","4.1","ESXi 5.5,ESXi 5.1,Centos KVM 6.4,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.0 U2,ESXi 5.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150","4.0.2,4.0.3.1,4.0.4,4.0.3,4.0.2.x","ESXi 5.5,ESXi 5.1,Centos KVM 6.4,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.0 U2,ESXi 5.0 U3,ESXi 5.1 U1,ESXi 5.1 U2,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3061,NX-3060","4.1.1,4.1.1.3,4.1.1.2","ESXi 5.5,ESXi 5.1,Centos KVM 6.4,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.0 U2,ESXi 5.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3175-G5,NX-3061,NX-3060","4.7.7.1,4.7.7","ESXi 5.5,ESXi 6.5 U1,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3175-G5,NX-3061,NX-3060","4.7.6.2","ESXi 5.5,ESXi 5.1,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0 U3,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2,ESXi 6.5a","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3061,NX-3060","4.5","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 6.0,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-6020,NX-6080,NX-6060,NX-3175-G5,NX-3061,NX-3060","4.7.2.1","ESXi 5.5,ESXi 5.1,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,AHV-20160601.44,AHV-20160601.46,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
"NX-8150,NX-3175-G5","4.7.5.2,4.7.5.1,4.7.5","ESXi 5.5,ESXi 5.1,AHV-20160601.50,AHV-20160601.54,ESXi 6.0 U1A,ESXi 6.0 U1B,ESXi 6.0 U2,ESXi 5.5 U2A,ESXi 5.5 U1P,ESXi 5.5 U3B,ESXi 5.1 U1,ESXi 5.1 U3,ESXi 5.1 U2,ESXi 5.5 U3A,Hyper-V Win Server 2012 R2","NX-1065S^1,2,3,7,11 NX-1065-G4^3,11 NX-1065-G5^3,11 NX-1065S-G5^3,11 NX-3050^11 NX-3051^11 NX-3060^11 NX-3061^11 NX-3060-E^11 NX-3061-E^11 NX-3060-G4^11 NX-3060-G5^11 NX-3175-G4^11 NX-3175-G5^11 NX-6000^4,11 NX-6020^11 NX-6035-G4^11 NX-6035C^6,11 NX-6035C-G5^6,11 NX-6050^11 NX-6060-E^11 NX-6060^11 NX-6070^11 NX-6080^11 NX-6035-G5^11 NX-6155-G5^11 NX-7110^11 NX-3155G-G4^11 NX-3155G-G5^11 NX-8150^4,5,11 NX-8150-G4^5,11 NX-8150-G5^5,11 NX-8035-G4^11 NX-8035-G5^11 NX-9030-G5^11",
